NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
NELSON JUNIOR,AVANTE,Centro,ES,MASCULINO,BRANCA,46.0,1056380.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,700
ROSILENE CORRÊA,PT,Esquerda,DF,FEMININO,BRANCA,58.0,97970.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,133
PROFESSOR AJOSÉ,PMN,Esquerda,PI,MASCULINO,BRANCA,48.0,245000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,333
CLEITINHO,PSC,Direita,MG,MASCULINO,BRANCA,40.0,544571.0,BENS_G2,ENSINO MÉDIO COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,200
PAULO ROSA,DC,Direita,RS,MASCULINO,BRANCA,54.0,nan,nan,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,270
ANDRÉ DE PAULA,PSD,Direita,PE,MASCULINO,BRANCA,61.0,1524699.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,555
KATIA,PP,Direita,TO,FEMININO,BRANCA,60.0,4928538.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,111
HERALDO GOES,PSTU,Esquerda,SE,MASCULINO,PARDA,56.0,132000.0,BENS_G3,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
CARONE,AGIR,Direita,ES,MASCULINO,BRANCA,75.0,9990.0,BENS_G4,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,366
LAÉRCIO,PP,Direita,SE,MASCULINO,NÃO INFORMADO,63.0,4589727.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
MARCONI PERILLO,PSDB,Centro,GO,MASCULINO,BRANCA,59.0,7352617.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,456
TELMARIO MOTA,PROS,Centro,RR,MASCULINO,BRANCA,64.0,3528550.0,BENS_G1,SUPERIOR COMPLETO,ECONOMISTA,S,NÃO DIVULGÁVEL,903
JAQUELINE CASSOL,PP,Direita,RO,FEMININO,BRANCA,48.0,11928377.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
GILMAR SALGADO,PSTU,Esquerda,SC,MASCULINO,BRANCA,62.0,585000.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,161
GERVÁSIO SANTOS,PSTU,Esquerda,PI,MASCULINO,PRETA,56.0,150000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,166
ALESSANDRO MOLON,PSB,Esquerda,RJ,MASCULINO,BRANCA,51.0,1578919.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,400
FILIPE SKITER,PSTU,Esquerda,ES,MASCULINO,PRETA,38.0,nan,nan,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
